Experiment,Distance,Diagonal?,Trial,stim1_voicing,stim1_f0,stim1_F1,stim1_Closure,stim2_voicing,stim2_f0,stim2_F1,stim2_Closure
f1_voicing_dur,0.002621591091156006,0,48,0,,0,,0,,1,
f1_voicing_dur,0.0028212666511535645,1,48,0,,0,,1,,1,
f1_voicing_dur,1.8894672393798828e-05,0,48,0,,0,,1,,0,
f1_voicing_dur,4.9948692321777344e-05,0,48,0,,1,,1,,1,
f1_voicing_dur,0.0025127530097961426,1,48,0,,1,,1,,0,
f1_voicing_dur,0.0026754140853881836,0,48,1,,1,,1,,0,
f1_closure_dur_low_f0,0.0010672807693481445,0,48,,0,0,0,,0,0,1
f1_closure_dur_low_f0,0.0006267428398132324,0,48,,0,0,0,,0,1,0
f1_closure_dur_low_f0,0.0031492114067077637,0,48,,0,0,0,,0,1,1
f1_closure_dur_low_f0,0.0009034872055053711,0,48,,0,0,1,,0,1,0
f1_closure_dur_low_f0,0.0007575154304504395,0,48,,0,0,1,,0,1,1
f1_closure_dur_low_f0,0.0019063353538513184,0,48,,0,1,0,,0,1,1
f1_closure_dur_high_f0,0.004308879375457764,0,48,,1,1,1,,1,0,0
f1_closure_dur_high_f0,0.0012951493263244629,0,48,,1,1,1,,1,0,1
f1_closure_dur_high_f0,0.0019878149032592773,0,48,,1,1,1,,1,1,0
f1_closure_dur_high_f0,0.0012215971946716309,0,48,,1,0,0,,1,0,1
f1_closure_dur_high_f0,0.0009452104568481445,0,48,,1,0,0,,1,1,0
f1_closure_dur_high_f0,0.000990152359008789,0,48,,1,0,1,,1,1,0
f0_voicing_dur,0.0002148151397705078,1,48,1,0,,,0,1,,
f0_voicing_dur,4.172325134277344e-07,0,48,1,0,,,0,0,,
f0_voicing_dur,0.0003071427345275879,0,48,1,0,,,1,1,,
f0_voicing_dur,0.00021034479141235352,0,48,0,1,,,0,0,,
f0_voicing_dur,0.00014734268188476562,0,48,0,1,,,1,1,,
f0_voicing_dur,0.00030297040939331055,1,48,0,0,,,1,1,,
f0_closure_dur_low_f1,0.0006148815155029297,0,48,,0,0,0,,1,0,1
f0_closure_dur_low_f1,0.0009008049964904785,0,48,,0,0,0,,0,0,1
f0_closure_dur_low_f1,0.000372469425201416,0,48,,0,0,0,,1,0,0
f0_closure_dur_low_f1,0.0002435445785522461,0,48,,1,0,1,,0,0,1
f0_closure_dur_low_f1,0.0012215971946716309,0,48,,1,0,1,,1,0,0
f0_closure_dur_low_f1,0.002053201198577881,0,48,,0,0,1,,1,0,0
f0_closure_dur_high_f1,0.0014241337776184082,0,48,,0,1,0,,1,1,1
f0_closure_dur_high_f1,0.0007755160331726074,0,48,,0,1,0,,1,1,0
f0_closure_dur_high_f1,0.004132211208343506,0,48,,0,1,0,,0,1,1
f0_closure_dur_high_f1,0.0019878149032592773,0,48,,1,1,1,,1,1,0
f0_closure_dur_high_f1,0.0014130473136901855,0,48,,1,1,1,,0,1,1
f0_closure_dur_high_f1,0.006208479404449463,0,48,,1,1,0,,0,1,1
